dataset_name,task_id,task_name,instruction,num_traj,episode_done_count,success_rate,checkpoint_path,video_dir
libero_90,0,KITCHEN_SCENE10_close_the_top_drawer_of_the_cabinet,close the top drawer of the cabinet,1,1,1.0,./checkpoints/rdt-finetune-1b-20251119_122234/checkpoint-70000,outs/eval_videos/libero_90_checkpoint-70000_20251124_141211/task0/libero_90_task0
libero_90,1,KITCHEN_SCENE10_close_the_top_drawer_of_the_cabinet_and_put_the_black_bowl_on_top_of_it,close the top drawer of the cabinet and put the black bowl on top of it,1,0,0.0,./checkpoints/rdt-finetune-1b-20251119_122234/checkpoint-70000,
libero_90,2,KITCHEN_SCENE10_put_the_black_bowl_in_the_top_drawer_of_the_cabinet,put the black bowl in the top drawer of the cabinet,1,0,0.0,./checkpoints/rdt-finetune-1b-20251119_122234/checkpoint-70000,
libero_90,3,KITCHEN_SCENE10_put_the_butter_at_the_back_in_the_top_drawer_of_the_cabinet_and_close_it,put the butter at the back in the top drawer of the cabinet and close it,1,0,0.0,./checkpoints/rdt-finetune-1b-20251119_122234/checkpoint-70000,
libero_90,4,KITCHEN_SCENE10_put_the_butter_at_the_front_in_the_top_drawer_of_the_cabinet_and_close_it,put the butter at the front in the top drawer of the cabinet and close it,1,0,0.0,./checkpoints/rdt-finetune-1b-20251119_122234/checkpoint-70000,
libero_90,5,KITCHEN_SCENE10_put_the_chocolate_pudding_in_the_top_drawer_of_the_cabinet_and_close_it,put the chocolate pudding in the top drawer of the cabinet and close it,1,0,0.0,./checkpoints/rdt-finetune-1b-20251119_122234/checkpoint-70000,
libero_90,6,KITCHEN_SCENE1_open_the_bottom_drawer_of_the_cabinet,open the bottom drawer of the cabinet,1,0,0.0,./checkpoints/rdt-finetune-1b-20251119_122234/checkpoint-70000,
libero_90,7,KITCHEN_SCENE1_open_the_top_drawer_of_the_cabinet,open the top drawer of the cabinet,1,0,0.0,./checkpoints/rdt-finetune-1b-20251119_122234/checkpoint-70000,
libero_90,8,KITCHEN_SCENE1_open_the_top_drawer_of_the_cabinet_and_put_the_bowl_in_it,open the top drawer of the cabinet and put the bowl in it,1,0,0.0,./checkpoints/rdt-finetune-1b-20251119_122234/checkpoint-70000,
libero_90,9,KITCHEN_SCENE1_put_the_black_bowl_on_the_plate,put the black bowl on the plate,1,1,1.0,./checkpoints/rdt-finetune-1b-20251119_122234/checkpoint-70000,
libero_90,10,KITCHEN_SCENE1_put_the_black_bowl_on_top_of_the_cabinet,put the black bowl on top of the cabinet,1,1,1.0,./checkpoints/rdt-finetune-1b-20251119_122234/checkpoint-70000,outs/eval_videos/libero_90_checkpoint-70000_20251124_141211/task10/libero_90_task10
libero_90,11,KITCHEN_SCENE2_open_the_top_drawer_of_the_cabinet,open the top drawer of the cabinet,1,0,0.0,./checkpoints/rdt-finetune-1b-20251119_122234/checkpoint-70000,
libero_90,12,KITCHEN_SCENE2_put_the_black_bowl_at_the_back_on_the_plate,put the black bowl at the back on the plate,1,0,0.0,./checkpoints/rdt-finetune-1b-20251119_122234/checkpoint-70000,
libero_90,13,KITCHEN_SCENE2_put_the_black_bowl_at_the_front_on_the_plate,put the black bowl at the front on the plate,1,0,0.0,./checkpoints/rdt-finetune-1b-20251119_122234/checkpoint-70000,
libero_90,14,KITCHEN_SCENE2_put_the_middle_black_bowl_on_the_plate,put the middle black bowl on the plate,1,0,0.0,./checkpoints/rdt-finetune-1b-20251119_122234/checkpoint-70000,
libero_90,15,KITCHEN_SCENE2_put_the_middle_black_bowl_on_top_of_the_cabinet,put the middle black bowl on top of the cabinet,1,0,0.0,./checkpoints/rdt-finetune-1b-20251119_122234/checkpoint-70000,
libero_90,16,KITCHEN_SCENE2_stack_the_black_bowl_at_the_front_on_the_black_bowl_in_the_middle,stack the black bowl at the front on the black bowl in the middle,1,1,1.0,./checkpoints/rdt-finetune-1b-20251119_122234/checkpoint-70000,
libero_90,17,KITCHEN_SCENE2_stack_the_middle_black_bowl_on_the_back_black_bowl,stack the middle black bowl on the back black bowl,1,0,0.0,./checkpoints/rdt-finetune-1b-20251119_122234/checkpoint-70000,
libero_90,18,KITCHEN_SCENE3_put_the_frying_pan_on_the_stove,put the frying pan on the stove,1,1,1.0,./checkpoints/rdt-finetune-1b-20251119_122234/checkpoint-70000,
libero_90,19,KITCHEN_SCENE3_put_the_moka_pot_on_the_stove,put the moka pot on the stove,1,1,1.0,./checkpoints/rdt-finetune-1b-20251119_122234/checkpoint-70000,
libero_90,20,KITCHEN_SCENE3_turn_on_the_stove,turn on the stove,1,0,0.0,./checkpoints/rdt-finetune-1b-20251119_122234/checkpoint-70000,outs/eval_videos/libero_90_checkpoint-70000_20251124_141211/task20/libero_90_task20
libero_90,21,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_frying_pan_on_it,turn on the stove and put the frying pan on it,1,1,1.0,./checkpoints/rdt-finetune-1b-20251119_122234/checkpoint-70000,
libero_90,22,KITCHEN_SCENE4_close_the_bottom_drawer_of_the_cabinet,close the bottom drawer of the cabinet,1,1,1.0,./checkpoints/rdt-finetune-1b-20251119_122234/checkpoint-70000,
libero_90,23,KITCHEN_SCENE4_close_the_bottom_drawer_of_the_cabinet_and_open_the_top_drawer,close the bottom drawer of the cabinet and open the top drawer,1,0,0.0,./checkpoints/rdt-finetune-1b-20251119_122234/checkpoint-70000,
libero_90,24,KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet,put the black bowl in the bottom drawer of the cabinet,1,1,1.0,./checkpoints/rdt-finetune-1b-20251119_122234/checkpoint-70000,
libero_90,25,KITCHEN_SCENE4_put_the_black_bowl_on_top_of_the_cabinet,put the black bowl on top of the cabinet,1,1,1.0,./checkpoints/rdt-finetune-1b-20251119_122234/checkpoint-70000,
libero_90,26,KITCHEN_SCENE4_put_the_wine_bottle_in_the_bottom_drawer_of_the_cabinet,put the wine bottle in the bottom drawer of the cabinet,1,1,1.0,./checkpoints/rdt-finetune-1b-20251119_122234/checkpoint-70000,
libero_90,27,KITCHEN_SCENE4_put_the_wine_bottle_on_the_wine_rack,put the wine bottle on the wine rack,1,1,1.0,./checkpoints/rdt-finetune-1b-20251119_122234/checkpoint-70000,
libero_90,28,KITCHEN_SCENE5_close_the_top_drawer_of_the_cabinet,close the top drawer of the cabinet,1,0,0.0,./checkpoints/rdt-finetune-1b-20251119_122234/checkpoint-70000,
libero_90,29,KITCHEN_SCENE5_put_the_black_bowl_in_the_top_drawer_of_the_cabinet,put the black bowl in the top drawer of the cabinet,1,0,0.0,./checkpoints/rdt-finetune-1b-20251119_122234/checkpoint-70000,
